respondent,influencers
171,"'Donella Meadow','Scott Page','Steven Johnson','Jane Fulton Suri'"
173,"'Donna Spencer','Dave OBrien','Abby Covert','Peter Morville'"
175,"'Erika Hall','Kim Goodwin','Jared Spool','Steve Portigal','Steve Krug','Jan Chipchase','Sam Ladner','Tricia Wang','Vivianne Castillo'"
176,"'Steve Portigal','Pamela Pavlischak','Rochelle King','Elizabeth Churchill','Caitlin Tan','OD Ntuk'"
179,"'Donella Meadows','Warren Berger','Euphemia Wong','Karen Whistler','Indi Young','Jamie Levy','Charles Pearson'"
180,"'Benjamin Evans','Laura Kalbag','Nanako Era','Vivianne Castillo','Jon Crowly','Kat Holmes','P.M. Langdon'"
182,"'Jeffrey Rubin','Elizabeth Goodman','Jeff Gothelf','Laura Klein','Steve Portigal','Bob Virzi','Tom Tullis','Jim Ross','Nick Babich','David Peter Simon','Amanda Stockwell','Bob Thomas','Erika Hall','Mike Rohde','Jeff Sauro','Dave Gray','Sara Gibbons','Allan Paivio','Hal Pashler'"
183,'Sally Carson'
184,"'Dan Ariely','Dan Lockton','Susan Michie'"
185,"'Joanna Wiebe','Amy Hoy','Tanya Snook ','Alan Klement','Bob Moesta','Chris Spiek','Sofia Quintero','Kate Towsey','Claire Suellentrop','Gia Laudi','April Dunford','Nick Disabato','Wil Reynolds','Talia Wolf','Val Geisler','Katelyn Bourgoin'"
186,"'Jakob Nielsen','Annie Jean-Baptiste','Austin Kleon'"
188,"'Sam Ladner','Tomer Sharon','Karl Weick','Gordon MacKenzie'"
189,"'Dana Chisnell','Mike Monteiro','Sabrina Fonseca','Eduardo Ortiz'"
190,"'Arnie Van Doren','Patricia Gerstner'"
191,'Gretchen McCulloch'
192,"'Steve Portigal','Jared Spool','Erika Hall','Marcia Bates','Peter Morville','Andrew Hinton','Sophia V-Prater','Jorge Arango'"
193,"'Mario Small','Michele Lamont','Yuuki Hara','Lynn Shade','Indi Young','Kat Holmes'"
194,"'Nalini Kotamraju','Charlotte Swan','Norbert Podsadowski'"
195,"'Brianna Sylver','Hannes Robier','Luciara Nardon','Marcia Frost','Alfredo Pascual','David Scholz','Paul Rosen','Codie Sanchez','Abi Roach','Martin Booth','Pippa Norris','Greta Thunberg','Alexandria Ocasio-Cortez'"
196,"'Jamison Brogdon','John Brooke','Dan Ariely'"
197,"'Tomer Sharon','Joe Munko','Etienne Fang'"
198,"'Anthony Ulwick','Indi Young'"
199,"'Liz Sanders','Brant Cooper','Steve Portigal'"
201,'Jeff Sauro'
202,"'Elizabeth Loftus','Julie Zhuo','Alastair Simpson'"
203,"'James Kalbach','Leah Buley','Edward Packard'"
204,"'Mark Zeh','Ari Popper'"
205,"'Indi Young','Dan Brown','Jared Spool','Jakob Nielsen','Karl Fast'"
206,'Jennie Doberne'
207,"'Connie Maratea','Alyssa Vincent-Hill','Nalini Kotamraju','Jeff Sauro','James R. Lewis'"
208,"'David Grove','Steve Portigal','Rita Denny','Patricia Sunderland','David Williamson Shaffer','Lisa Feldman Barrett','Steven Pinker','George Lakoff','Paco Underhill','Martin Lindstrom'"
210,"'Erik Flowers','Megan Miller','Kim Goodwin'"
212,"'Jakob Nielsen','Don Norman','David Kelley','Bill Moggridge','Susan Weinschenk','Erving Goffman','Abraham Maslow'"
214,"'Helen Kara','Marieke McCloskey'"
215,"'Dan Klyn','Amy Goldmacher'"
217,"'Kelly Goto','Steve Portigal'"
218,"'Nathan Shedroff','Christian Rohrer','Mary Sorber','Maria Giudice','Erika Hall'"
219,"'Simon Sinek','Vilayanur Ramachandran','Steve Portigal','Bas Raijmakers','Geke van Dijk','Katherine Gough','Jen Fabrizi','Marc Rettig'"
220,"'Leah Buley','Tomer Sharon','Alena Iouguina','Maria Skaaden','Hana Nagel','Michele Marut'"
221,"'Erika Hall', 'Brene Brown', 'Dan Brown', 'Kevin Hoffman', 'Scott Thomas'"
222,"'Sam Ladner','Erika Hall','Indi Young','Andrew Hinton','Cennydd Bowles','Vivianne Castillo','Kathy Baxter','Kim Goodwin'"
223,"'Kat Holmes','Rosemarie Garland-Thomson','Caroline Hill','Kirsten Crowder Tisdale','Michele Fines','Sheena Chestnut Greitans','Shamus Khan','Victor Rios'"
224,"'Leah Buley','Tomer Sharon'"
225,"'Iyad Rahwan','Ian Lowrie','Dawn Nafus','Elizabeth Churchill','Lucy Suchman','Lilly Irani','Tim Ingold'"
226,'Julie Zhuo'
227,"'Cindy Alvarez','Rob Fitzpatrick','Michael Margolis','Jakob Nielsen'"
